AWS Tenant,ConsolidatedPolicies,AWSIAMRoleNameNew
dcoflexplus,"ReadOnlyAccess,DCO_InfraDelivery_CertificatePermissions,Infra_Config_Permission,DCO_Lambda_SecretsManager_EventBridge,DCO_TrustedAdvisor,DCO_InfraDelivery_NetworkEngr,DCO_Infrastructure_TagEditor,DCO_EC2AutoScaling,DCO_Infrastructure_SSM_runcommand,DCO_InfraDelivery_DMS,DCO_InfraDelivery_DMS,DCO_MarketPlace_Access,DCO_MarketPlace_Access,DCO_CloudFrontDistributions,DCO_InfraDel_CloudfrontAccess",ADFS-FP-cld-del-network
dcoflexplus,"ReadOnlyAccess,DCO_InfraDelivery_CertificatePermissions,Infra_Config_Permission,DCO_Lambda_SecretsManager_EventBridge,DCO_TrustedAdvisor,DCO_InfraDelivery_NetworkEngr,DCO_Infrastructure_TagEditor,DCO_EC2AutoScaling,DCO_Infrastructure_SSM_runcommand,DCO_InfraDelivery_DMS,DCO_InfraDelivery_DMS,DCO_MarketPlace_Access,DCO_MarketPlace_Access,DCO_CloudFrontDistributions,DCO_InfraDel_CloudfrontAccess",ADFS-FP-cld-del-tools
GovWin,"ReadOnlyAccess,ReadOnlyAccessGovwin_Cloudformation_Admin,DCO_Govwin_Admin,DCO_Govwin_AdminS3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_KMS_EC2,DCO_IAMCreateRole_codebuild-SmartFit,DCO_EC2_Start_Stop_Instances,Delete_CloudWatch_Logs,TranslateFullAccess,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess",ADFS-GovWin-cld-del-smb-us
GovWin,"ReadOnlyAccess,ReadOnlyAccessGovwin_Cloudformation_Admin,DCO_Govwin_Admin,DCO_Govwin_AdminS3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_KMS_EC2,DCO_IAMCreateRole_codebuild-SmartFit,DCO_EC2_Start_Stop_Instances,Delete_CloudWatch_Logs,TranslateFullAccess,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess",ADFS-GovWin-cld-mgt-smb-us
GovWin,"ReadOnlyAccess,Govwin_Cloudformation_Admin,DCO_Govwin_Admin,DCO_Govwin_Admin,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_KMS_EC2,DCO_IAMCreateRole_codebuild-SmartFit,DCO_EC2_Start_Stop_Instances,Delete_CloudWatch_Logs,TranslateFullAccess,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess",ADFS-GovWin-cld-del-govwin
Deltek CostPoint,"ReadOnlyAccess,DCO_Infrastructure_Reduced_Access,DCO_TrustedAdvisor,DCO_Infrastructure_TagEditor,DCO_Infrastructure_SSM_runcommand,DCO_InfraDelivery_CertificatePermissions,DCO_Infrastructure_AdditionalAccess,Infra_Config_Permission,DCO_MarketPlace_Access,DCO_MarketPlace_Access,DCO_InfraDel_CloudfrontAccess,DCO_InfraDel_CloudfrontAccess,DCO_Lambda_SecretsManager_EventBridge,DCO_EC2AutoScaling,DCO_InfraDelivery_NetworkEngr",ADFS-Deltek-CP-cld-del-network
Deltek CostPoint,"ReadOnlyAccess,ReadOnlyAccessDCO_Infrastructure_Reduced_Access,DCO_TrustedAdvisor,DCO_Infrastructure_TagEditor,DCO_Infrastructure_SSM_runcommand,DCO_InfraDelivery_CertificatePermissions,DCO_Infrastructure_AdditionalAccess,Infra_Config_Permission,DCO_MarketPlace_Access,DCO_MarketPlace_Access,DCO_InfraDel_CloudfrontAccess,DCO_InfraDel_CloudfrontAccessCID_CreateFlowLogs_Policy,DCO_InfraDel_CloudfrontAccessCID_CreateFlowLogs_Policy,DCO-InfraDelivery-ResourceAccessManager,DCO-InfraDelivery-ResourceAccessManager,DCO_Lambda_SecretsManager_EventBridge,DCO_EC2AutoScaling,DCO_InfraDelivery_NetworkEngr",ADFS-Deltek-CP-cld-del-tools
DeltekDCODev,"ReadOnlyAccess,DCO_S3BucketUpload,DCO_TrustedAdvisor,DCO_Infrastructure_SSM_runcommand,DCO_Ec2AutoScaling,Infra_Config_Permission,DCO_InfraDelivery_CertificatePermissions,DCO_MarketPlace_Access,DCO_MarketPlace_AccessDCO_InfraDelivery_CertificatePermissionsDCO_MarketPlace_Access,DCO_InfraDel_CloudfrontAccess,DCO_InfraDelivery_CertificatePermissionsDCO_MarketPlace_Access,DCO_InfraDel_CloudfrontAccess,DCO_Infrastructure_TagEditor,DCO_Ec2AutoScaling,DCO_Lambda_SecretsManager_EventBridge,DCO_Ec2AutoScalingCloudformation,DCO_Ec2AutoScalingCloudformationDCO_InfraDelivery_NetworkEngineer,ReadOnlyAccessDCO_S3BucketUpload",ADFS-DCODev-cld-del-network
DeltekDCO,"DCO_ReadOnlyAccess,AWSApplicationMigrationFullAccess,DCO_Infrastructure_TagEditor,Infra_Config_Permission,DCO_InfraDelivery_NetworkEngr,DCO_EC2AutoScaling,DCO_InfraDelivery_CertificatePermissions,DCO_Lambda_SecretsManager_EventBridge,SSM-Admin,DCO_TrustedAdvisor,DCO_TrustedAdvisorDCO_MarketPlace_Access,DCO_InfraDel_CloudfrontAccess,IAM_Setup",ADFS-DCO-cld-del-network
DeltekDCO,"DCO_KMS_Management,DCO_IAMFullAccess,DCO_AdministratorAccess,EC2ConsoleConnectforWindows,EC2ConsoleConnectforWindows,DCO_ReadOnlyAccess,DCO_SystemsManagerPolicy,DCO_S3Backup,DCO_SSAA_S3,SiteReliability_SSAA,SiteReliability_Access,DCO_SystemAdmin,DCO_SystemsManagerPolicy,SiteReliability_Access,InfraSRE_R53,InfraSRE_ELB",ADFS-DCO-cld-sre-infra
DeltekDCO,"DCO_ReadOnlyAccess,DCO_TrustedAdvisorReports,DCO_TrustedAdvisorReportsComputeOptimizerReadOnlyAccess,AWSSavingsPlansFullAccess,DCO_Billing,BA-Athena-Access,SupportAccess,BillingPurchaseAccess,Cost_Explorer_RW,DCO_CostExplorer_Read,DCO_Anomaly,DCO_Anomaly,DCO_AmazonAthena_FullAccess",ADFS-DCO-cld-cost-vendor-mgt
DeltekDCO,"DCO_ReadOnlyAccess,DCO_TrustedAdvisorReports,DCO_TrustedAdvisorReportsComputeOptimizerReadOnlyAccess,AWSSavingsPlansFullAccess,DCO_Billing,BA-Athena-Access,SupportAccess,BillingPurchaseAccess,Cost_Explorer_RW,DCO_CostExplorer_Read,DCO_Anomaly,DCO_Anomaly,DCO_AmazonAthena_FullAccess,DCO_ReadOnlyAccess,DCO_Purchase_Reserve_Instances,DCO_RDS_and_ElasticSearch_Purchase,DCO_RDS_and_ElasticSearch_Purchase,DCO_TrustedAdvisorReports,DCO_Artifact",ADFS-DCO-cld-costopt-analyst
DeltekDCO,"DCO_ReadOnlyAccess,DCO_TrustedAdvisorReports,ComputeOptimizerReadOnlyAccess,AWSSavingsPlansFullAccess,DCO_Billing,BA-Athena-Access,SupportAccess,BillingPurchaseAccess,Cost_Explorer_RW,DCO_CostExplorer_Read,DCO_Anomaly,DCO_Anomaly,DCO_AmazonAthena_FullAccess",ADFS-DCO-cld-costopt-admin
GovWinDev,"DCO_EC2_Start_Stop_Instances,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_IAMCreateRole_codebuild-SmartFit,Delete_CloudWatch_Logs,DCO_KMS_EC2,TranslateFullAccess,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess,AWSCodePipelineFullAccessKMS_S3_RW,Govwin_Delivery_CloudTrail_CloudWatch_Support,Govwin_Delivery_CloudTrail_CloudWatch_Support,ReadOnlyAccess",ADFS-GovWinDev-cld-del-smb-us
GovWinDev,"DCO_EC2_Start_Stop_Instances,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_IAMCreateRole_codebuild-SmartFit,Delete_CloudWatch_Logs,DCO_KMS_EC2,TranslateFullAccess,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess,AWSCodePipelineFullAccessKMS_S3_RW,Govwin_Delivery_CloudTrail_CloudWatch_Support,Govwin_Delivery_CloudTrail_CloudWatch_Support,Govwin_Delivery_CloudTrail_CloudWatch_Support,ReadOnlyAccess,AWSCodePipelineFullAccess",ADFS-GovWinDev-cld-del-govwin
